patient	n	tree	subtree	mutation_count	RSS	Signature.1	Signature.3	Signature.5	Signature.2	Signature.13
1	9	1	A;B;D;F;H;C;E;G;I	4674	108859.3	 0.9260217	 0.07397831	 0	 0	 0
10	6	1	A;C;E;B;D;F	3188	56334.45	 0.9167473	 0.08325275	 0	 0	 0
2	6	1	A;C;E;B;D;F	2280	32134.84	 1	 0	 0	 0	 0
3	7	1	A;C;D;F;B;E;G	3164	46305.85	 0.9868075	 0.01319249	 0	 0	 0
4	8	1	A;C;E;B;D;F;G;H	4400	80308.71	 0.85493	 0.1047168	 0	 0	 0.04035313
7	5	1	A;C;D;B;E	1830	12649.89	 0.510954	 0.4586003	 0	 0.03044565	 0
9	3	1	A;B;C	1240	20488.95	 1	 0	 0	 0	 0
