instance	n	subtree	mutation_count	RSS	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
m5_S18_k2_eps0.3.P_eps.txt	5	1;3	277	32.53205	 0	 0.004952964	 0.004809707	 0	 0.1107898	 0	 0	 0.03577968	 0	 0	 0.0438304	 0	 0	 0.1262164	 0.003116064	 0	 0.01366776	 0	 0.08518979	 0	 0.3663383	 0	 0.03710165	 0	 0	 0	 0	 0.03313213	 0.1350754	 0
m5_S18_k2_eps0.3.P_eps.txt	5	2	193	11.98628	 0	 0.02727519	 0	 0	 0.0182765	 0	 0	 0.02885958	 0	 0.02647644	 0.006678287	 0.07221384	 0	 0.04522916	 0.0973757	 0	 0.1775042	 0.08562853	 0	 0.07711041	 0.06469157	 0.06142296	 0.006587406	 0.06618605	 0	 0.08092185	 0.02924123	 0.01080781	 0.01751333	 0
m5_S18_k2_eps0.3.P_eps.txt	5	5;4	175	32.73985	 0.1814178	 0	 0.01466621	 0.05753079	 0	 0	 0	 0	 0.02620507	 0.04599727	 0	 0	 0.16581	 0.07081634	 0	 0.03038895	 0	 0.008438277	 0.06626311	 0	 0	 0	 0.02459411	 0.1592439	 0.06634029	 0	 0.07669457	 0	 0	 0.005593328
m5_S3_k0_eps0.1.P_eps.txt	5	1;3;2;5;4	551	46.98715	 0.1721467	 0.001552137	 0	 0.1852458	 0.1277785	 0	 0.001664907	 0.03361305	 0	 0	 0	 0.01367302	 0	 0.005356527	 0.009255111	 0	 0.01042797	 0.06816655	 0	 0.006254673	 0.00269554	 0.04467814	 0.106897	 0	 0	 0	 0	 0.1272315	 0	 0.08336304
m5_S3_k0_eps0.2.P_eps.txt	5	1;3;2;5;4	372	54.56036	 0.4035977	 0	 0	 0	 0.1200771	 0	 0	 0	 0	 0.02484498	 0	 0.07629697	 0	 0	 0.003896689	 0.0176573	 0	 0.1026326	 0	 0.007984668	 0.03788993	 0	 0.1247255	 0.02878327	 0	 0	 0	 0	 0.05161327	 0
m5_S3_k0_eps0.3.P_eps.txt	5	1;3;2;5;4	615	84.04524	 0.01089862	 0.1210313	 0	 0	 0.0426413	 0.1203331	 0.02847378	 0	 0.08922247	 0.09240829	 0	 0	 0.07137759	 0	 0.04112502	 0	 0.03972314	 0.1349176	 0	 0	 0.01240957	 0	 0	 0	 0.05131414	 0.03004779	 0.08378549	 0.00240299	 0.02788779	 0
m5_S3_k1_eps0.1.P_eps.txt	5	1;3;2;4	416	42.67104	 0	 0.02951375	 0	 0	 0	 0.1212328	 0.01042798	 0	 0.1464564	 0.002900157	 0	 0	 0	 0	 0.03054303	 0.03235064	 0.004020391	 0.01284667	 0	 0	 0.1454006	 0	 0	 0.1850468	 0.007801716	 0.2511834	 0	 0.02027554	 0	 0
m5_S3_k1_eps0.1.P_eps.txt	5	5	189	7.655212	 0.02100413	 0.02051647	 0.07388457	 0.1507113	 0.04792527	 0.01216932	 0.01286786	 0	 0	 0	 0	 0	 0	 0.03720696	 0.2800034	 0	 0.110373	 0.003916081	 0.04427099	 0	 0	 0.103474	 0.06835225	 0	 0	 0	 0	 0.001774481	 0.01154979	 0
m5_S3_k1_eps0.2.P_eps.txt	5	1;3;2;5	356	50.79122	 0.0110104	 0.004364777	 0.04510821	 0.2055412	 0.1368751	 0.1627717	 0.077636	 0	 0	 0.02216984	 0.02201346	 0	 0.05230941	 0.01248502	 0	 0	 0.02172864	 0.00673961	 0	 0.05766602	 0	 0.06198872	 0.004533466	 0	 0.07946927	 0	 0.002454286	 0	 0.005774714	 0.007360116
m5_S3_k1_eps0.2.P_eps.txt	5	4	185	10.11735	 0.09347567	 0.2718482	 0	 0	 0	 0	 0	 0	 0.00791377	 0	 0.005385182	 0	 0.003392686	 0.4298481	 0.03296045	 0.02377831	 0	 0.007941154	 0.03783262	 0.0211195	 0	 0	 0.01943966	 0	 0	 0	 0	 0	 0.00794591	 0.03711878
m5_S3_k1_eps0.3.P_eps.txt	5	1;5;4	229	47.44068	 0	 0.01805149	 0	 0	 0.1570447	 0	 0.01627291	 0	 0	 0	 0.1272498	 0.01025598	 0	 0	 0.07843026	 0.04275484	 0.01019257	 0	 0.03434978	 0.02982147	 0.04793515	 0.06997535	 0.2060504	 0	 0	 0	 0.02538739	 0.03901159	 0.03758123	 0.04963508
m5_S3_k1_eps0.3.P_eps.txt	5	3;2	189	22.75412	 0.003612436	 0	 0	 0	 0	 0.01398266	 0	 0	 0.03658303	 0	 0.01834324	 0	 0	 0.06737185	 0	 0.03202298	 0.2624907	 0	 0.02187244	 0.01453007	 0.02640974	 0	 0.4740238	 0	 0.02194931	 0	 0	 0	 0.006807688	 0
m5_S3_k2_eps0.1.P_eps.txt	5	1;4	270	17.58627	 0	 0.008891921	 0.1391651	 0	 0.3541254	 0	 0.05259923	 0.004472899	 0	 0	 0.01495057	 0.06671633	 0	 0.1864852	 0	 0	 0.02292901	 0	 0	 0	 0	 0.07669463	 0.01087093	 0.01448979	 0	 0	 0.03602207	 0	 0	 0.01158688
m5_S3_k2_eps0.1.P_eps.txt	5	3;2	199	15.13838	 0.1619439	 0	 0	 0	 0	 0	 0.04211054	 0.03767999	 0.045591	 0.007169223	 0	 0.04059641	 0.03807347	 0	 0	 0.1209693	 0.03975195	 0	 0	 0.01424251	 0.05349738	 0	 0.01420881	 0	 0	 0.2887287	 0.09543685	 0	 0	 0
m5_S3_k2_eps0.1.P_eps.txt	5	5	116	8.320743	 0.03890503	 0.3690481	 0.1444668	 0	 0	 0	 0	 0.1193211	 0	 0	 0	 0.07372902	 0.001783427	 0	 0.08411494	 0.02391933	 0	 0	 0.02957493	 0	 0	 0	 0	 0	 0.08689907	 0.008126551	 0	 0	 0	 0.02011165
m5_S3_k2_eps0.2.P_eps.txt	5	1;5;4	116	42.58355	 0	 0.0569718	 0.01698898	 0	 0.1461913	 0	 0.04956205	 0	 0	 0.1007913	 0.04603527	 0	 0.1256859	 0.08279189	 0	 0	 0.03136575	 0.04672519	 0.009470149	 0	 0.1038097	 0	 0.08768921	 0.04144174	 0	 0	 0	 0	 0.05447977	 0
m5_S3_k2_eps0.2.P_eps.txt	5	3;2	259	21.59636	 0.009899878	 0.02255558	 0	 0	 0	 0.1206335	 0.004503331	 0.02600732	 0	 0	 0.0362655	 0.09348126	 0.04791752	 0.0302726	 0.04228233	 0.05420104	 0.09299848	 0.009857218	 0.01811031	 0	 0	 0	 0.02915744	 0.02218405	 0.07738651	 0.01381116	 0.03255263	 0	 0.2159224	 0
m5_S3_k2_eps0.3.P_eps.txt	5	1;2;5	479	58.38936	 0.009666772	 0.10018	 0	 0.08802051	 0.05555106	 0	 0	 0	 0.04021562	 0.04531841	 0.01972301	 0.05685297	 0	 0	 0	 0.1084586	 0	 0	 0	 0.07509709	 0.1558821	 0.005622854	 0.050882	 0	 0.01149728	 0.03861957	 0.1066901	 0.02136226	 0	 0.01035983
m5_S3_k2_eps0.3.P_eps.txt	5	3	141	12.94231	 0.006862462	 0.008758005	 0	 0	 0.3218064	 0.1242135	 0	 0.03231751	 0	 0	 0.1090306	 0	 0.06605796	 0	 0.04528411	 0	 0	 0.006556531	 0.04872851	 0	 0	 0.01904891	 0.02231614	 0	 0.1529429	 0	 0	 0	 0	 0.03607652
m5_S3_k2_eps0.3.P_eps.txt	5	4	143	17.18106	 0	 0.002752393	 0	 0	 0	 0	 0.01370287	 0	 0	 0	 0	 0.4381439	 0	 0	 0.005000568	 0	 0	 0	 0	 0.06327105	 0.06952404	 0.0714376	 0.08817723	 0	 0.0460569	 0.05793546	 0	 0.07721999	 0	 0.06677799
m5_S37_k0_eps0.1.P_eps.txt	5	1;3;2;5;4	435	42.58514	 0.01985508	 0.00304714	 0	 0	 0	 0.07658366	 0	 0.03023614	 0	 0	 0.008991004	 0.2597413	 0	 0.009541359	 0.009500177	 0.003462629	 0.2079513	 0.0227358	 0	 0	 0.1364858	 0.1307934	 0	 0.003468109	 0.03520435	 0.02891999	 0.01348282	 0	 0	 0
m5_S37_k0_eps0.2.P_eps.txt	5	1;3;2;5;4	682	58.80732	 0.009150724	 0.004950857	 0.02160763	 0.247188	 0.07254594	 0	 0.01859611	 0.03546364	 0	 0.05162292	 0	 0.03137705	 0	 0.009957391	 0.003222526	 0	 0.0670084	 0.01364308	 0.0344954	 0.05810126	 0.1263681	 0.01747644	 0.1222214	 0	 0.01879366	 0.03620942	 0	 0	 0	 0
m5_S37_k0_eps0.3.P_eps.txt	5	1;3;2;5;4	615	82.16186	 0	 0.04655149	 0	 0.01532583	 0.0336638	 0	 0.1574981	 0	 0.2023853	 0.1157001	 0	 0.03262785	 0	 0.0423054	 0	 0	 0.01229137	 0	 0.01474108	 0.004426956	 0.06245161	 0.06396329	 0.06890664	 0.004162387	 0	 0.04518319	 0	 0	 0.07423255	 0.003583089
