instance	n	k	min_mut	max_mut	RSS	BIC
m5_S66_k0_eps0.2.P_eps.txt	5	1	Inf	-Inf	49.48167	-720.2211
m5_S66_k0_eps0.2.P_eps.txt	5	2	Inf	-Inf	47.81864	-551.4171
m5_S66_k0_eps0.2.P_eps.txt	5	3	Inf	-Inf	46.28972	-381.8015
m5_S66_k0_eps0.2.P_eps.txt	5	4	Inf	-Inf	45.20841	-207.9335
m5_S66_k0_eps0.3.P_eps.txt	5	0	Inf	-Inf	79.1595	-679.9006
m5_S66_k0_eps0.3.P_eps.txt	5	1	Inf	-Inf	74.97775	-520.7383
m5_S66_k0_eps0.3.P_eps.txt	5	2	Inf	-Inf	71.15706	-360.6296
m5_S66_k0_eps0.3.P_eps.txt	5	3	Inf	-Inf	70.09056	-182.6647
m5_S66_k0_eps0.3.P_eps.txt	5	4	Inf	-Inf	68.77586	-6.540059
m5_S66_k1_eps0.1.P_eps.txt	5	0	Inf	-Inf	351.5047	35.66327
m5_S66_k1_eps0.1.P_eps.txt	5	1	Inf	-Inf	40.48648	-816.5255
m5_S66_k1_eps0.1.P_eps.txt	5	2	Inf	-Inf	38.87958	-650.7514
m5_S66_k1_eps0.1.P_eps.txt	5	3	Inf	-Inf	37.60991	-481.4746
m5_S66_k1_eps0.1.P_eps.txt	5	4	Inf	-Inf	36.60141	-309.3078
m5_S66_k1_eps0.2.P_eps.txt	5	0	Inf	-Inf	127.8203	-449.9037
m5_S66_k1_eps0.2.P_eps.txt	5	1	Inf	-Inf	57.08297	-651.6274
m5_S66_k1_eps0.2.P_eps.txt	5	2	Inf	-Inf	54.15493	-491.6891
m5_S66_k1_eps0.2.P_eps.txt	5	3	Inf	-Inf	51.8289	-327.548
m5_S66_k1_eps0.2.P_eps.txt	5	4	Inf	-Inf	50.52428	-154.5715
m5_S66_k1_eps0.3.P_eps.txt	5	0	Inf	-Inf	82.53666	-659.8473
m5_S66_k1_eps0.3.P_eps.txt	5	1	Inf	-Inf	68.04124	-567.3355
m5_S66_k1_eps0.3.P_eps.txt	5	2	Inf	-Inf	64.59869	-407.0434
