,1,3:5:4,2
Signature.1,0.0,0.0,0.0114847969549
Signature.2,0.0,0.0821110099773,0.0
Signature.3,0.0886586061259,0.0979689290133,0.0639206342045
Signature.4,0.021201856734,0.0235444553122,0.0859304084755
Signature.5,0.0473491361494,0.160463478824,0.121355216867
Signature.6,0.0255356031762,0.0,0.0
Signature.7,0.0,0.0145922821894,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0889341001526,0.0175986315116
Signature.10,0.0,0.044428534364,0.0
Signature.11,0.0,0.0,0.271552714396
Signature.12,0.109625889167,0.0351446647535,0.0
Signature.13,0.0383342128666,0.0,0.0
Signature.14,0.0,0.0263334384038,0.0126926456375
Signature.15,0.103075375289,0.0131321300637,0.0533357213004
Signature.16,0.0312166616189,0.0,0.0
Signature.17,0.0,0.0224811436336,0.02118930034
Signature.18,0.0,0.0,0.016332944675
Signature.19,0.0287738835959,0.210671526534,0.0
Signature.20,0.112154700731,0.0,0.0
Signature.21,0.0,0.0382593424632,0.107652471267
Signature.22,0.136476898741,0.0141855165125,0.129020179021
Signature.23,0.0163210561023,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0,0.0
Signature.26,0.0,0.0279465885292,0.0
Signature.27,0.0197800720713,0.0,0.0
Signature.28,0.0,0.0135557226986,0.0
Signature.29,0.0991060182409,0.0523504554741,0.0879343353489
Signature.30,0.122390029392,0.0338966811011,0.0
