,1:3:2,5:4,7,6
Signature.1,0.0,0.0,0.120252909327,0.0
Signature.2,0.0,0.0,0.141773801064,0.0
Signature.3,0.0261675365097,0.063519038973,0.0,0.0
Signature.4,0.092071792421,0.101292007629,0.0,0.0141769111475
Signature.5,0.0215430548862,0.150965119557,0.0221055808409,0.0923569282551
Signature.6,0.0180587635285,0.082566501439,0.0,0.251983328541
Signature.7,0.0446974631217,0.16392441427,0.0,0.0636833763375
Signature.8,0.0,0.0,0.0683533587303,0.0
Signature.9,0.0,0.0786851388016,0.0,0.0
Signature.10,0.0,0.044440931258,0.0,0.0247501162924
Signature.11,0.0422204787384,0.0,0.0,0.0128144902927
Signature.12,0.0341657830972,0.0303012830158,0.081830941386,0.0
Signature.13,0.0751504766253,0.0507910234936,0.0613169105907,0.0
Signature.14,0.080226757012,0.0,0.0164066773945,0.0
Signature.15,0.0106812309826,0.0,0.0,0.0
Signature.16,0.0,0.0400369094548,0.0407220813343,0.0
Signature.17,0.0,0.0293250827038,0.0293702955948,0.0
Signature.18,0.0227970753893,0.0,0.0,0.151651175393
Signature.19,0.0317386981216,0.0666830217048,0.0992618293934,0.0
Signature.20,0.186220850416,0.0,0.0,0.0619390159066
Signature.21,0.0,0.0360498616894,0.0,0.166394707698
Signature.22,0.0,0.0,0.0,0.0332765567708
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0,0.0630502838952
Signature.25,0.0181984803392,0.0,0.0,0.0
Signature.26,0.0426487783195,0.0614196660101,0.29808799879,0.0
Signature.27,0.0,0.0,0.0,0.0115099125884
Signature.28,0.0874066972923,0.0,0.0,0.0
Signature.29,0.0809524831619,0.0,0.0,0.0
Signature.30,0.0850536000381,0.0,0.0205176155535,0.052413196882
