,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0253221294957
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0196226521767
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0122626599226
Signature.13,0.034239343871
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0127982506331
Signature.18,0.046060864811
Signature.19,0.0851272975636
Signature.20,0.218563407215
Signature.21,0.0
Signature.22,0.0
Signature.23,0.222998148772
Signature.24,0.0
Signature.25,0.171427714912
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0538501275566
Signature.29,0.017915124899
Signature.30,0.0798122781714
