,1:3:2:5:4:6,7
Signature.1,0.0,0.0
Signature.2,0.0,0.045463514367
Signature.3,0.0,0.0867669084548
Signature.4,0.17233462333,0.0
Signature.5,0.110420546309,0.136096668416
Signature.6,0.0675794519546,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.016952750287
Signature.9,0.0,0.0
Signature.10,0.0,0.0
Signature.11,0.0781218577829,0.0363401204252
Signature.12,0.0142769687213,0.0386081036201
Signature.13,0.0,0.0
Signature.14,0.026804120837,0.0
Signature.15,0.0,0.0228916651728
Signature.16,0.0,0.331176551253
Signature.17,0.0123242064346,0.0
Signature.18,0.0108036147116,0.148571272146
Signature.19,0.121054716118,0.0191413417431
Signature.20,0.0207676053636,0.0
Signature.21,0.262000139404,0.0
Signature.22,0.0179429861049,0.0152646894741
Signature.23,0.0855691629286,0.0
Signature.24,0.0,0.0
Signature.25,0.0,0.0120900942347
Signature.26,0.0,0.0
Signature.27,0.0,0.0
Signature.28,0.0,0.0675786288106
Signature.29,0.0,0.0230576915954
Signature.30,0.0,0.0
