,1:7:6,3,2:5:4
Signature.1,0.0,0.100091418432,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0718916124455,0.0217287482915,0.0358466859528
Signature.4,0.0,0.0,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.188422092715,0.0871303407088
Signature.7,0.0158291536047,0.0,0.0
Signature.8,0.0317760206802,0.0262040174585,0.209066947401
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0,0.0
Signature.11,0.0334368737788,0.0192943989622,0.0
Signature.12,0.0,0.0,0.0
Signature.13,0.0677629477609,0.0428971698896,0.158211582262
Signature.14,0.0,0.0,0.0
Signature.15,0.0634814019157,0.0616993821549,0.0
Signature.16,0.21638074284,0.0611686353608,0.0
Signature.17,0.0,0.154047634375,0.0
Signature.18,0.0,0.0,0.0108440309839
Signature.19,0.0,0.0,0.168747286245
Signature.20,0.0,0.021513181946,0.0166051874685
Signature.21,0.0,0.0,0.0
Signature.22,0.135828713032,0.0,0.0139893017832
Signature.23,0.0,0.0408889924071,0.0
Signature.24,0.0,0.131932707035,0.0
Signature.25,0.0,0.0491059112827,0.252886851375
Signature.26,0.0,0.0167062064893,0.0
Signature.27,0.0,0.0418502993992,0.0
Signature.28,0.304910778848,0.0,0.0
Signature.29,0.0,0.022449203802,0.0
Signature.30,0.0587017550943,0.0,0.0466717858198
