,1:3:2:5:4
Signature.1,0.0
Signature.2,0.0170228255805
Signature.3,0.0
Signature.4,0.0335318558437
Signature.5,0.161759317201
Signature.6,0.0
Signature.7,0.0473009226503
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0116307161584
Signature.12,0.0
Signature.13,0.0
Signature.14,0.213137603722
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0416373678424
Signature.21,0.0809900793605
Signature.22,0.145019305008
Signature.23,0.124434962478
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0818668769215
Signature.29,0.0416681672335
Signature.30,0.0
