,11:1:2:5:9:8,10,3:4,7:6
Signature.1,0.0,0.0,0.0707009082452,0.0
Signature.2,0.133916234223,0.100280504171,0.342912117037,0.0109235702648
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0365568649301,0.0854974827069,0.0,0.0
Signature.5,0.0411655167396,0.142058985443,0.0,0.055710736781
Signature.6,0.0705897156959,0.0297697859278,0.0,0.0
Signature.7,0.0,0.0,0.0260591630004,0.0
Signature.8,0.085874121019,0.0,0.0,0.0639297654814
Signature.9,0.0894677258207,0.0,0.0,0.0
Signature.10,0.0,0.0,0.0159106027109,0.0770314526027
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0,0.278519406256
Signature.13,0.0136175797439,0.0,0.0197465859305,0.0178866946868
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.0257131187901,0.0405679870969,0.067248582904,0.0
Signature.16,0.0,0.0754954201031,0.0,0.0
Signature.17,0.0175306712876,0.0,0.0,0.0
Signature.18,0.0291350703015,0.167465744016,0.0527106678421,0.0331831626516
Signature.19,0.0644954477759,0.126841312416,0.0,0.0482434744507
Signature.20,0.0220385913973,0.0,0.0,0.0209799052107
Signature.21,0.0,0.0,0.174895076519,0.182687433733
Signature.22,0.16912222948,0.043729524131,0.0,0.0
Signature.23,0.0,0.0,0.113430448094,0.0250251442667
Signature.24,0.0712822650095,0.0592707519912,0.0,0.0
Signature.25,0.044714033266,0.0354085075021,0.0,0.0
Signature.26,0.0278011067644,0.0,0.0,0.0
Signature.27,0.0,0.0936139944952,0.0,0.023782072159
Signature.28,0.0,0.0,0.0,0.0529902018509
Signature.29,0.0335858510292,0.0,0.0,0.109106979605
Signature.30,0.0233938567266,0.0,0.116385847717,0.0
