,1:2:7:6,3:4,5
Signature.1,0.0850104934741,0.0191559283464,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0841152742624
Signature.4,0.140798678945,0.01292349443,0.0401310012296
Signature.5,0.0,0.0228753913777,0.0
Signature.6,0.0161353456522,0.0206517008388,0.306286001453
Signature.7,0.0,0.0265907345557,0.0
Signature.8,0.0,0.309146175309,0.0
Signature.9,0.0,0.0,0.0343159425464
Signature.10,0.0,0.0,0.0
Signature.11,0.0,0.0454341053706,0.0
Signature.12,0.0131164813977,0.0666071810892,0.0106190831996
Signature.13,0.0,0.0,0.0909447168983
Signature.14,0.145498011682,0.0,0.0
Signature.15,0.0,0.0,0.0432252294463
Signature.16,0.0227472155368,0.0,0.162285477668
Signature.17,0.227168046507,0.0,0.0
Signature.18,0.0231766919505,0.0,0.0
Signature.19,0.0,0.0,0.0433226662327
Signature.20,0.0,0.0821805086315,0.0
Signature.21,0.0,0.0,0.0272765335443
Signature.22,0.0,0.0,0.0235193481757
Signature.23,0.0,0.0360857555086,0.0
Signature.24,0.187257314251,0.0,0.0
Signature.25,0.0,0.239213792627,0.12206248572
Signature.26,0.0416053953975,0.0,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0118962396242
Signature.29,0.0974863252068,0.0588105316034,0.0
Signature.30,0.0,0.060324700312,0.0
