,11:10:1:3:2:5:9:8,4,7:6
Signature.1,0.0,0.0885524117453,0.0416189345266
Signature.2,0.0,0.0,0.104195954623
Signature.3,0.101289305991,0.0178231480716,0.0
Signature.4,0.0,0.0,0.316945201977
Signature.5,0.0,0.0,0.029818000711
Signature.6,0.0317475657403,0.0,0.0
Signature.7,0.03918960441,0.0712234772303,0.0145728013689
Signature.8,0.0,0.0202307047465,0.0
Signature.9,0.0561162136615,0.0271379968674,0.0599327572379
Signature.10,0.0181989512863,0.0106124366953,0.0
Signature.11,0.0295224795848,0.0,0.0
Signature.12,0.0314868929383,0.0,0.012491704524
Signature.13,0.0,0.0490842415873,0.0
Signature.14,0.0,0.0,0.0314453518958
Signature.15,0.0224122584992,0.0293132286022,0.0110787566093
Signature.16,0.0584088110041,0.0,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.128106126818,0.0639028095632,0.0512941096225
Signature.19,0.0,0.248207364873,0.0
Signature.20,0.0,0.0193955720005,0.0
Signature.21,0.0473210924745,0.0,0.11510248038
Signature.22,0.0148851051501,0.091472807395,0.0
Signature.23,0.107934429911,0.0224084923043,0.158135861102
Signature.24,0.0101248493836,0.0,0.0
Signature.25,0.278782245592,0.0,0.0
Signature.26,0.0,0.0423094454165,0.0
Signature.27,0.0,0.0,0.0198184264303
Signature.28,0.0244740675542,0.0434608157744,0.0
Signature.29,0.0,0.0,0.0335496589922
Signature.30,0.0,0.154865047128,0.0
