,1:3:2:7:6,5:4
Signature.1,0.0,0.0402910477953
Signature.2,0.0,0.0
Signature.3,0.0553455684167,0.0193104182404
Signature.4,0.389782488012,0.0
Signature.5,0.0,0.0
Signature.6,0.0642212999428,0.0141705510545
Signature.7,0.0,0.0882068317464
Signature.8,0.0,0.0162754274788
Signature.9,0.152384401025,0.0
Signature.10,0.0,0.0651999801612
Signature.11,0.0200097976818,0.181339719934
Signature.12,0.030315279613,0.0134834858987
Signature.13,0.0,0.0562222703836
Signature.14,0.0117286709589,0.0
Signature.15,0.0,0.0183266487701
Signature.16,0.0,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.0634313242677
Signature.19,0.0,0.0
Signature.20,0.033768857488,0.0
Signature.21,0.0902547619506,0.0
Signature.22,0.0410448172186,0.0400048964844
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.0,0.0
Signature.26,0.0,0.0192124336509
Signature.27,0.0,0.0242903087785
Signature.28,0.0687509802089,0.125084368933
Signature.29,0.0,0.161689080091
Signature.30,0.0423930774836,0.0534612063318
