,11,10:1:3:2:5:4:9:8,7:6
Signature.1,0.0,0.0205941607404,0.0181660582183
Signature.2,0.0742475768799,0.0,0.0
Signature.3,0.111173900105,0.0,0.0457126984807
Signature.4,0.044739264388,0.0155901495711,0.0424721783551
Signature.5,0.0,0.117262737684,0.0767382067563
Signature.6,0.0,0.0,0.0
Signature.7,0.0200895781649,0.0,0.0624594819705
Signature.8,0.0,0.0446165561537,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0559097052712,0.0626526299576
Signature.11,0.24212041698,0.0125080549013,0.0
Signature.12,0.0,0.0914063188713,0.0
Signature.13,0.0745385397234,0.0885234962931,0.0
Signature.14,0.0168937309992,0.0,0.0
Signature.15,0.0158705364004,0.0363639835035,0.0
Signature.16,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.170591499853,0.042374065365,0.0880079518024
Signature.19,0.0,0.137394772359,0.0
Signature.20,0.0295968772821,0.0,0.0
Signature.21,0.0,0.0228996921912,0.0
Signature.22,0.0,0.0170520837946,0.020044388945
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0501441625775
Signature.25,0.0105234406971,0.0,0.100866962482
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.110822892189,0.283469441837
Signature.28,0.137858470714,0.131056275683,0.0491368047749
Signature.29,0.0191106147724,0.0556250554302,0.100129033843
Signature.30,0.0326455530408,0.0,0.0
