,1:3:5:4:7:6:9,2,8
Signature.1,0.0,0.0,0.0
Signature.2,0.0607669917591,0.173726162089,0.0
Signature.3,0.0,0.0,0.0165645559512
Signature.4,0.0,0.0,0.0578770433167
Signature.5,0.0210412954302,0.0,0.0535170472527
Signature.6,0.0,0.0469067991217,0.0
Signature.7,0.0142713969631,0.0,0.0523938822849
Signature.8,0.0,0.0429265253235,0.0207051280509
Signature.9,0.0,0.0386435285449,0.0
Signature.10,0.0,0.0,0.0236794006616
Signature.11,0.0592285842077,0.0,0.0
Signature.12,0.0246300701504,0.0,0.0
Signature.13,0.0,0.0,0.0584531598868
Signature.14,0.0336076002352,0.0,0.0283792432971
Signature.15,0.011859986148,0.0,0.0576985017523
Signature.16,0.0,0.0816515296779,0.0
Signature.17,0.0,0.0,0.195745702975
Signature.18,0.0,0.112889157402,0.120614727666
Signature.19,0.0,0.0,0.134203746676
Signature.20,0.0,0.0,0.0
Signature.21,0.111629408813,0.0,0.0
Signature.22,0.0,0.0796586104239,0.0
Signature.23,0.0249062357886,0.0,0.0105457722993
Signature.24,0.251935102145,0.0,0.0
Signature.25,0.0,0.0751119566359,0.0
Signature.26,0.303734246968,0.152105872409,0.0
Signature.27,0.0276847133615,0.0340535795205,0.0
Signature.28,0.0,0.141426807135,0.0
Signature.29,0.0,0.0208994717161,0.140202548284
Signature.30,0.0547043680291,0.0,0.0294195396452
