,1:3:2
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0430571690438
Signature.5,0.117471714552
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0469880559821
Signature.10,0.0756874686973
Signature.11,0.0
Signature.12,0.144200599578
Signature.13,0.0
Signature.14,0.051031586467
Signature.15,0.0728548371135
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0526452433556
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0530369553978
Signature.22,0.0441166408948
Signature.23,0.0936389486202
Signature.24,0.0
Signature.25,0.0
Signature.26,0.143870115906
Signature.27,0.0258357197302
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0355649446625
