,11:10:1:2:7:6:9,3:4,5,8
Signature.1,0.0,0.0,0.0260531499147,0.085062776359
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0,0.109779889825,0.0567194636553,0.253898112975
Signature.4,0.0,0.0,0.0,0.0566994772736
Signature.5,0.0199210967042,0.0,0.0,0.0
Signature.6,0.0167315816221,0.0,0.0,0.0177479899059
Signature.7,0.023498396118,0.0,0.0333746031362,0.0
Signature.8,0.0,0.0,0.0499851279735,0.0210986153738
Signature.9,0.170454585832,0.123424447146,0.0,0.0
Signature.10,0.143692322939,0.0,0.0,0.0163023920101
Signature.11,0.0,0.0,0.0,0.033291410935
Signature.12,0.105998906586,0.0234142083586,0.0,0.0
Signature.13,0.16986780175,0.0,0.0,0.018168943064
Signature.14,0.0,0.140238457833,0.0,0.0
Signature.15,0.0155915629016,0.0,0.0,0.0150083211235
Signature.16,0.0246085993657,0.0,0.0,0.0
Signature.17,0.0244692167806,0.0737041305774,0.0,0.0863118316252
Signature.18,0.0856364466894,0.0141636803274,0.038163438773,0.0
Signature.19,0.0197493857295,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0410119216645,0.0149141459881
Signature.21,0.0,0.0755838607797,0.0,0.0
Signature.22,0.0,0.0,0.120438671281,0.0
Signature.23,0.0,0.0584620324949,0.0,0.0307172629368
Signature.24,0.0270839258513,0.0155804226067,0.0,0.121657685628
Signature.25,0.0455726774993,0.194792236698,0.470212166283,0.0900563147007
Signature.26,0.0,0.0,0.0,0.0230473437579
Signature.27,0.0128580602519,0.0,0.0,0.0
Signature.28,0.0171635795433,0.0,0.164041457319,0.0371689401436
Signature.29,0.077101853835,0.0,0.0,0.0
Signature.30,0.0,0.170856633353,0.0,0.0788484362005
