,1:3,2
Signature.1,0.0,0.0836031806079
Signature.2,0.0394447961667,0.0
Signature.3,0.0,0.0
Signature.4,0.0390233712999,0.0
Signature.5,0.0,0.0
Signature.6,0.0663731217007,0.312285421095
Signature.7,0.0289066538994,0.0
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.0402912518028,0.0
Signature.11,0.0,0.0
Signature.12,0.346760488442,0.0
Signature.13,0.0,0.0260134353877
Signature.14,0.0,0.0279312082575
Signature.15,0.0,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.13892084259
Signature.18,0.152923825573,0.102959644896
Signature.19,0.0,0.0
Signature.20,0.017468394239,0.0152694046982
Signature.21,0.0,0.0
Signature.22,0.0105302931719,0.0
Signature.23,0.0,0.0151986615932
Signature.24,0.0,0.209373198286
Signature.25,0.0,0.0
Signature.26,0.0900538755916,0.0
Signature.27,0.0,0.0
Signature.28,0.0716034059383,0.0
Signature.29,0.0476185216336,0.0
Signature.30,0.0490020005404,0.068445002589
