,1:3:2:5:6:9:8,4,7
Signature.1,0.0,0.0131613062034,0.0240064534189
Signature.2,0.0,0.125502934321,0.0174178587574
Signature.3,0.0805518502679,0.0205752207322,0.0371377845718
Signature.4,0.0,0.0,0.0701198524678
Signature.5,0.0,0.0308368739556,0.0
Signature.6,0.0750707331926,0.0242578094857,0.0
Signature.7,0.204932795005,0.0,0.0576279153975
Signature.8,0.0,0.0,0.0207555258825
Signature.9,0.0,0.0,0.0419380924052
Signature.10,0.0,0.0123496763819,0.0294973954623
Signature.11,0.0,0.0,0.0791030468913
Signature.12,0.0705346682286,0.0,0.0
Signature.13,0.0391015782636,0.0,0.0
Signature.14,0.0977542783308,0.279626602435,0.0200293531122
Signature.15,0.0118546188862,0.0106419213156,0.0170926891192
Signature.16,0.0,0.0,0.0
Signature.17,0.113232232761,0.035050129174,0.0173765005396
Signature.18,0.0206347165146,0.0,0.0
Signature.19,0.0239951826877,0.0,0.0
Signature.20,0.0653881875296,0.0,0.0
Signature.21,0.0288769759116,0.0,0.200215126851
Signature.22,0.0290734289215,0.0,0.0
Signature.23,0.028909286389,0.0,0.0
Signature.24,0.0,0.100022695743,0.0
Signature.25,0.0,0.0202562634479,0.0227186091492
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0,0.0520150237388
Signature.28,0.11008946711,0.302670463478,0.292948772236
Signature.29,0.0,0.0,0.0
Signature.30,0.0,0.0250481033255,0.0
