,1:3:2:4,5:7,6
Signature.1,0.0,0.0113067763294,0.135602167763
Signature.2,0.0,0.0,0.0
Signature.3,0.0138282950974,0.115103614207,0.0
Signature.4,0.36427012171,0.0,0.0154058379216
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0313205455103,0.0
Signature.7,0.0,0.0,0.0615325686981
Signature.8,0.147465014868,0.100116626011,0.0
Signature.9,0.0616789691849,0.0,0.0
Signature.10,0.0,0.0,0.0102701375384
Signature.11,0.0,0.0386444850981,0.0452060291036
Signature.12,0.0,0.0,0.0
Signature.13,0.0,0.0,0.115942673324
Signature.14,0.0,0.0308395856981,0.0
Signature.15,0.0,0.0438208757226,0.0
Signature.16,0.0,0.0801324213099,0.148522284121
Signature.17,0.0,0.0,0.0542003474176
Signature.18,0.0,0.0,0.0218994886624
Signature.19,0.276920600226,0.0738106005917,0.0
Signature.20,0.0163285215923,0.0,0.0
Signature.21,0.0,0.0,0.300361901248
Signature.22,0.0413595422934,0.0,0.0
Signature.23,0.0,0.0812608145243,0.0711750464711
Signature.24,0.018904883455,0.18578510833,0.0
Signature.25,0.0329687816681,0.0120294444168,0.0
Signature.26,0.0,0.084108049093,0.0
Signature.27,0.0,0.0272742682253,0.0198815177318
Signature.28,0.0,0.040993255653,0.0
Signature.29,0.0262752699055,0.0,0.0
Signature.30,0.0,0.043453529279,0.0
