,1:3:2:5:4
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0395904163377
Signature.4,0.0194499186824
Signature.5,0.0229817562285
Signature.6,0.0
Signature.7,0.0524594613038
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.118815608145
Signature.12,0.0268584924462
Signature.13,0.0443428665318
Signature.14,0.0904289375499
Signature.15,0.0112446522179
Signature.16,0.0
Signature.17,0.0546058033765
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0110574724124
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.257904114376
Signature.27,0.0
Signature.28,0.078110511885
Signature.29,0.0
Signature.30,0.172149988507
