,1:3,2
Signature.1,0.0,0.129226018014
Signature.2,0.0106486046513,0.0
Signature.3,0.0105356057696,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0476158965643
Signature.6,0.0,0.0
Signature.7,0.197559015166,0.0
Signature.8,0.0,0.0607395146018
Signature.9,0.0,0.0735108513367
Signature.10,0.0775383998671,0.121036462227
Signature.11,0.0,0.0
Signature.12,0.0325710148215,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.275314183997
Signature.16,0.0,0.0
Signature.17,0.0841324181556,0.0
Signature.18,0.0,0.133248957183
Signature.19,0.0,0.0
Signature.20,0.126243463323,0.0
Signature.21,0.0,0.0786908833758
Signature.22,0.0,0.0
Signature.23,0.0,0.0
Signature.24,0.241419334204,0.0
Signature.25,0.174163813136,0.0
Signature.26,0.0136609866252,0.0684814264819
Signature.27,0.0,0.0121358062189
Signature.28,0.0,0.0
Signature.29,0.0,0.0
Signature.30,0.0315273442803,0.0
