,1:4,3,2,5
Signature.1,0.0114939913842,0.0,0.0640922668335,0.0
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0,0.0383171083954,0.0,0.0172719614857
Signature.4,0.0,0.0454730633532,0.0,0.0916004093471
Signature.5,0.0,0.148264702593,0.0,0.0
Signature.6,0.0,0.0,0.0250329016354,0.0242412637157
Signature.7,0.0,0.0,0.145686297018,0.0534542281398
Signature.8,0.0,0.0,0.0863935635876,0.139658032921
Signature.9,0.0,0.132992762356,0.0176824244863,0.0400359810815
Signature.10,0.0443328742925,0.0282320513349,0.0,0.0121490154275
Signature.11,0.0,0.0,0.148818423089,0.0
Signature.12,0.0400253849057,0.018125884308,0.0425398747608,0.235864981102
Signature.13,0.0,0.0,0.0140451837424,0.0182685206041
Signature.14,0.0313605271963,0.0,0.0698265521934,0.094826674094
Signature.15,0.211398368268,0.0750259846999,0.0,0.0
Signature.16,0.0174813551123,0.0701557365896,0.0832753041746,0.0249159224654
Signature.17,0.0,0.0,0.0186414291166,0.0
Signature.18,0.0,0.0,0.0715703934763,0.0190752011544
Signature.19,0.0,0.0,0.0300595312888,0.0
Signature.20,0.0384955880165,0.0,0.0,0.0
Signature.21,0.0982039673831,0.0,0.0,0.0
Signature.22,0.04489089119,0.244673896939,0.0,0.0
Signature.23,0.016547975685,0.0,0.0,0.0174193003031
Signature.24,0.0110602999986,0.0,0.0229882696475,0.0
Signature.25,0.0,0.0133748485784,0.0,0.0
Signature.26,0.172113730906,0.0303981813828,0.159347584949,0.0
Signature.27,0.0,0.0,0.0,0.188702240566
Signature.28,0.224176196216,0.0,0.0,0.0
Signature.29,0.0222275373987,0.0644725211989,0.0,0.0225162675935
Signature.30,0.0161913120473,0.0904932582715,0.0,0.0
