,1:3:2
Signature.1,0.0475893682664
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0892060298182
Signature.5,0.0111355173355
Signature.6,0.495657499533
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.064449029285
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.143338133348
Signature.17,0.0
Signature.18,0.035549840206
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0111251534351
Signature.25,0.0
Signature.26,0.0298207977763
Signature.27,0.0128368198197
Signature.28,0.0231605806449
Signature.29,0.0361312305311
Signature.30,0.0
