,11:9:10,1:8:2:7:6,3:4,5
Signature.1,0.0,0.124398784757,0.0243577869095,0.03550024843
Signature.2,0.022288932438,0.0,0.163040975099,0.0344031216541
Signature.3,0.0401142660313,0.0,0.0248029800235,0.0373366731886
Signature.4,0.0,0.0,0.0,0.301785773732
Signature.5,0.0213557178514,0.114411491363,0.0,0.0188008784224
Signature.6,0.415903622366,0.0,0.0,0.0
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0,0.0,0.175296821738,0.0
Signature.9,0.0195522713576,0.0,0.0,0.0
Signature.10,0.0,0.0,0.0466426381738,0.0
Signature.11,0.0841033995031,0.0,0.0,0.0
Signature.12,0.025684091073,0.0,0.0,0.0294324701719
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0,0.0105119229001,0.0286379524942,0.0164028557621
Signature.15,0.0746959742183,0.0,0.160067710683,0.0
Signature.16,0.188021313453,0.0133718058783,0.0314213008654,0.0
Signature.17,0.0123311044648,0.0267647977497,0.0741265866324,0.0475510182604
Signature.18,0.0,0.084598848327,0.0150377739762,0.0
Signature.19,0.0613926475441,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0,0.120283394277
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0,0.0,0.0,0.0988064477474
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0,0.0,0.042621208811,0.0804829767331
Signature.25,0.0,0.0,0.0,0.0151063778781
Signature.26,0.0,0.0333364809125,0.0970702244977,0.041514284023
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0,0.0148648237825
Signature.29,0.011700224334,0.0,0.116876040096,0.0651093831316
Signature.30,0.0228564353651,0.592605868113,0.0,0.0426192728049
