,1:2:5:4,3
Signature.1,0.0,0.0
Signature.2,0.0,0.0
Signature.3,0.0875822619836,0.0
Signature.4,0.0,0.0458007423788
Signature.5,0.0,0.0
Signature.6,0.264284556094,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.228262351531,0.0243685532186
Signature.10,0.0,0.0192545700663
Signature.11,0.0,0.0
Signature.12,0.0,0.0150389108942
Signature.13,0.0,0.226826550559
Signature.14,0.0,0.0
Signature.15,0.0112452742436,0.108350653562
Signature.16,0.0700494942889,0.0518554908534
Signature.17,0.0968894928559,0.0233523239579
Signature.18,0.0540057290453,0.108001232153
Signature.19,0.0,0.0
Signature.20,0.0,0.0263984634264
Signature.21,0.0678731044655,0.0904859056889
Signature.22,0.0346066875352,0.0290227167638
Signature.23,0.0387129727023,0.0
Signature.24,0.0,0.0
Signature.25,0.0,0.111217932015
Signature.26,0.0,0.0
Signature.27,0.0,0.0
Signature.28,0.0464880752553,0.0
Signature.29,0.0,0.120025954464
Signature.30,0.0,0.0
