,11,10:1:3:2:5:4:7:6:9:8
Signature.1,0.0780893958478,0.0
Signature.2,0.0,0.137802660589
Signature.3,0.0615969029448,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0186369727021,0.047363448817
Signature.7,0.0,0.183184570727
Signature.8,0.0376677659085,0.0165913679942
Signature.9,0.0577912035872,0.0
Signature.10,0.0106521702994,0.238756856309
Signature.11,0.242928926557,0.0549599464404
Signature.12,0.0812713640363,0.0110304751464
Signature.13,0.0143509451498,0.0
Signature.14,0.0126323142499,0.0
Signature.15,0.0390325928757,0.0439371513172
Signature.16,0.0,0.023582244198
Signature.17,0.0,0.0301259980682
Signature.18,0.0,0.0580463986527
Signature.19,0.0641564380953,0.0122201162656
Signature.20,0.0,0.0
Signature.21,0.119414356588,0.0
Signature.22,0.0345553167941,0.0162220742818
Signature.23,0.0,0.0
Signature.24,0.0,0.0122979720228
Signature.25,0.0,0.0
Signature.26,0.0,0.0
Signature.27,0.0237496793817,0.0
Signature.28,0.103473654983,0.0766598282349
Signature.29,0.0,0.0372188909359
Signature.30,0.0,0.0
