,11,10:1:5:7:6:9:8,3:4,2
Signature.1,0.0117252961716,0.0,0.0,0.10460507686
Signature.2,0.0,0.045581102511,0.0,0.0297346938856
Signature.3,0.0,0.0,0.015125126481,0.0
Signature.4,0.0,0.0,0.0522461795381,0.0489542468803
Signature.5,0.0,0.0559503527625,0.0188526968656,0.0464459833665
Signature.6,0.012645026737,0.0540048698385,0.0,0.384440132721
Signature.7,0.0,0.143322419005,0.0409258175502,0.0
Signature.8,0.0,0.0,0.0292596000475,0.0
Signature.9,0.0935011525152,0.0,0.0,0.0539439925721
Signature.10,0.0,0.0203782351209,0.0,0.0
Signature.11,0.0793075125865,0.0223583672067,0.0,0.0
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0,0.0506190280887,0.0993089530531,0.0
Signature.14,0.0,0.016382712863,0.0870853199553,0.0
Signature.15,0.0,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0950515065404,0.0636447615905
Signature.17,0.259806119527,0.0,0.133409588444,0.0
Signature.18,0.0,0.0218271664977,0.0116589810705,0.0
Signature.19,0.0,0.0,0.0,0.0336924123537
Signature.20,0.0236697464724,0.0394113190817,0.015972657281,0.0112444416742
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0778055821714,0.323532333373,0.0,0.138201612255
Signature.23,0.0,0.0451650658666,0.0,0.0
Signature.24,0.0,0.143670016457,0.0106990237281,0.0177094986167
Signature.25,0.0,0.0,0.0765855733425,0.0
Signature.26,0.0,0.0,0.120535763516,0.0
Signature.27,0.0115874008865,0.0,0.0649199657664,0.0337467506167
Signature.28,0.398068229551,0.0,0.0304091658267,0.0
Signature.29,0.0,0.0,0.0450495957744,0.0
Signature.30,0.0318839333809,0.0177970113277,0.0529044852194,0.0336363966075
