,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0196338772281
Signature.3,0.0
Signature.4,0.0187650133897
Signature.5,0.0733654359755
Signature.6,0.0259618182463
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0512957523301
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.271317995674
Signature.18,0.144430250729
Signature.19,0.037866726139
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0461259680058
Signature.24,0.0313309665967
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.258885415854
Signature.29,0.0
Signature.30,0.0210207798315
