,11:10:1:2:5:9:8,3,4,7:6
Signature.1,0.0,0.0152121949998,0.0,0.0
Signature.2,0.0233869727249,0.154057504207,0.0,0.0832612268225
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0260137362157,0.0,0.0,0.0
Signature.5,0.0,0.0,0.0117705661114,0.0
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.0,0.16827875978,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0340268506257,0.0,0.0137006482516,0.101404994043
Signature.10,0.0249236340024,0.066268392667,0.0145193762429,0.0538068701022
Signature.11,0.0,0.0,0.0,0.036186642177
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0,0.024165215287,0.0,0.0894207637956
Signature.14,0.0,0.126702466219,0.272001760971,0.0
Signature.15,0.0,0.0,0.253692571721,0.125385530405
Signature.16,0.0,0.0395878316745,0.130778896473,0.133008201075
Signature.17,0.0735088772054,0.0,0.0356927284972,0.0
Signature.18,0.0,0.0262136784178,0.0,0.0190892695485
Signature.19,0.0,0.0,0.0459768162943,0.0
Signature.20,0.0549831036819,0.0,0.0,0.0
Signature.21,0.024466529822,0.0,0.0,0.0
Signature.22,0.223632992908,0.0,0.0318993349983,0.0981950983011
Signature.23,0.0214868830939,0.172182965534,0.0,0.111878123723
Signature.24,0.27239806697,0.0,0.0,0.0453602093566
Signature.25,0.167520125052,0.0,0.0583396746685,0.0408876170961
Signature.26,0.0354687588343,0.163485238501,0.0,0.0
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0,0.0240388089006,0.0824399406895,0.0379106913145
Signature.29,0.0,0.0,0.0491876850815,0.0
Signature.30,0.0181834688639,0.0198069438127,0.0,0.0242047622412
