,11:10:1:3:5:4:7:6:9:8,2
Signature.1,0.0761280830946,0.012687331773
Signature.2,0.0562598836716,0.0
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.205966192382,0.0
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.114612383668
Signature.11,0.0130299839375,0.015730235733
Signature.12,0.0,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.0323605404623
Signature.15,0.0,0.23257878907
Signature.16,0.0938356369632,0.0
Signature.17,0.0,0.0216904969943
Signature.18,0.0,0.0393766939513
Signature.19,0.0193643112195,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.0219835237937,0.0
Signature.23,0.161087079888,0.0
Signature.24,0.0592877674877,0.0496957704629
Signature.25,0.223620436774,0.0
Signature.26,0.0,0.0
Signature.27,0.0,0.27629336705
Signature.28,0.0357097010067,0.0
Signature.29,0.033727399781,0.204974390835
Signature.30,0.0,0.0
