,11:10:1:2:5:7:6:9:8,3:4
Signature.1,0.0,0.0
Signature.2,0.0435687414671,0.0
Signature.3,0.0223929935557,0.0
Signature.4,0.232927321344,0.0137810522976
Signature.5,0.0524918406383,0.0
Signature.6,0.0155237061832,0.0
Signature.7,0.0106617686365,0.0
Signature.8,0.092054942351,0.193810280527
Signature.9,0.0243271018962,0.0
Signature.10,0.0,0.0512530595706
Signature.11,0.0313065554712,0.0
Signature.12,0.0211914119387,0.0238350473573
Signature.13,0.0,0.0166130785423
Signature.14,0.0284124120523,0.0
Signature.15,0.0,0.0
Signature.16,0.0,0.183649568287
Signature.17,0.0,0.0175871217474
Signature.18,0.0,0.0121739460881
Signature.19,0.0,0.0
Signature.20,0.0198620825804,0.0243950360377
Signature.21,0.0,0.0
Signature.22,0.0,0.0
Signature.23,0.0434912918174,0.0
Signature.24,0.157810433314,0.0856865832053
Signature.25,0.0148864926733,0.0847541135096
Signature.26,0.107655632613,0.0
Signature.27,0.0,0.260245556233
Signature.28,0.0,0.0
Signature.29,0.0247817496567,0.0
Signature.30,0.0566535218109,0.0322155565983
