,1:3:2:4,5
Signature.1,0.0860108007802,0.0820471140768
Signature.2,0.0,0.0
Signature.3,0.0,0.0291649215135
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0176219353947
Signature.9,0.0118384530818,0.0149515383378
Signature.10,0.0,0.0190376167754
Signature.11,0.0512417728889,0.0
Signature.12,0.0,0.0
Signature.13,0.122553720635,0.0878877998643
Signature.14,0.0,0.0
Signature.15,0.193251105369,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0876907172375
Signature.18,0.0,0.0358172925537
Signature.19,0.0,0.33247922796
Signature.20,0.0,0.0
Signature.21,0.0193210816043,0.0
Signature.22,0.0234172158794,0.0111973327907
Signature.23,0.0546683838209,0.0117258651096
Signature.24,0.0,0.0857555765535
Signature.25,0.253941188541,0.184623061833
Signature.26,0.0,0.0
Signature.27,0.150182908536,0.0
Signature.28,0.0335733688641,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.0
