,1,3,2
Signature.1,0.0,0.0197697008707,0.0
Signature.2,0.015852899346,0.0,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0118664889395,0.241717187087,0.0112748300432
Signature.5,0.0,0.0456357359605,0.0
Signature.6,0.0,0.0112321846688,0.0733701552558
Signature.7,0.0,0.0,0.0
Signature.8,0.0407497647974,0.0419544850749,0.0
Signature.9,0.0298270078402,0.0,0.265682154049
Signature.10,0.116158621803,0.0206946887051,0.0697172823903
Signature.11,0.136682220995,0.0,0.0980807531615
Signature.12,0.0,0.0,0.0
Signature.13,0.115738704346,0.0577447116944,0.0
Signature.14,0.225842801007,0.0352382486433,0.0151566285576
Signature.15,0.108539009982,0.0605964589014,0.0846177363357
Signature.16,0.0328405544153,0.0,0.0
Signature.17,0.0,0.110650375395,0.0
Signature.18,0.0,0.0,0.050233257869
Signature.19,0.0309330644866,0.0,0.0959358583948
Signature.20,0.0156846978364,0.0260429011069,0.0628078411749
Signature.21,0.0,0.084227324757,0.0770865042348
Signature.22,0.0214240845542,0.0560554618084,0.0842060394846
Signature.23,0.0259449832169,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.11708385925,0.0
Signature.26,0.0,0.0406549081785,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0255848959693,0.0,0.0
Signature.29,0.046330200464,0.0307017678984,0.0
Signature.30,0.0,0.0,0.0118309590488
