,11:10:1:3:5:9:8,2,4,7:6
Signature.1,0.0,0.0,0.0170515507673,0.167751219818
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0456909638291,0.0395779995773,0.0,0.0
Signature.4,0.0163511860716,0.0113465096198,0.0,0.0377611675362
Signature.5,0.0,0.118363227311,0.0,0.0
Signature.6,0.0,0.0906244985131,0.0267436819457,0.0
Signature.7,0.0646683121063,0.0,0.0,0.0488906709946
Signature.8,0.113188946172,0.0123434187982,0.0260025984987,0.0
Signature.9,0.0,0.0,0.0488739940018,0.0240899751277
Signature.10,0.0,0.0764946724549,0.196326548783,0.0
Signature.11,0.0,0.0,0.0360617800625,0.0196282310537
Signature.12,0.035812688862,0.016924433244,0.0,0.0
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0124516286318,0.165392953877,0.0,0.0
Signature.15,0.0,0.0,0.0,0.0898070529981
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0149774651547,0.0,0.129321863411,0.0
Signature.18,0.0457268240724,0.0161687323653,0.0135429469723,0.0
Signature.19,0.283813376038,0.0524016202422,0.0,0.0201281133797
Signature.20,0.0,0.0,0.148750622836,0.467018298199
Signature.21,0.0,0.0392837342743,0.0,0.0
Signature.22,0.0515102035883,0.242574089261,0.0291312642654,0.0
Signature.23,0.0242573247775,0.0,0.0,0.0457323877396
Signature.24,0.291551080697,0.0,0.166108271346,0.0
Signature.25,0.0,0.0,0.0,0.0
Signature.26,0.0,0.030570675225,0.0351541992703,0.0
Signature.27,0.0,0.0,0.0,0.0791928831526
Signature.28,0.0,0.0741865456007,0.0135846592184,0.0
Signature.29,0.0,0.0,0.0189721717556,0.0
Signature.30,0.0,0.0137468896362,0.0943738468649,0.0
