,1:3:2:5:4
Signature.1,0.0
Signature.2,0.149942651538
Signature.3,0.0
Signature.4,0.214566844277
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0677469032613
Signature.9,0.187929982796
Signature.10,0.0224551402169
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.138680958379
Signature.22,0.0921324623072
Signature.23,0.0280619466016
Signature.24,0.0
Signature.25,0.0215656393919
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0553701845307
Signature.29,0.0215472867007
Signature.30,0.0
