,11,10:1:3:2:5:4:7:6:9:8
Signature.1,0.0,0.144251280465
Signature.2,0.030168079921,0.0290233325129
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0,0.0110299723
Signature.7,0.0,0.0286658428897
Signature.8,0.0846068805321,0.0
Signature.9,0.0,0.0147664474302
Signature.10,0.048260066072,0.0
Signature.11,0.0,0.0139784890371
Signature.12,0.0696000521385,0.0
Signature.13,0.100956804125,0.0281653983785
Signature.14,0.0,0.0
Signature.15,0.0,0.0
Signature.16,0.0,0.0
Signature.17,0.0107396029648,0.0
Signature.18,0.0474503445904,0.145730329376
Signature.19,0.011704166131,0.0460212376177
Signature.20,0.0,0.123224628977
Signature.21,0.0,0.0
Signature.22,0.189446785517,0.0725574359363
Signature.23,0.223383682571,0.0
Signature.24,0.0321329077532,0.0
Signature.25,0.0,0.0
Signature.26,0.0,0.34258560508
Signature.27,0.0,0.0
Signature.28,0.0189155165648,0.0
Signature.29,0.0,0.0
Signature.30,0.13263511112,0.0
