,1:3:2
Signature.1,0.296752373021
Signature.2,0.0249134683026
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0585826888195
Signature.11,0.114157033514
Signature.12,0.0
Signature.13,0.136195112831
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0707562751945
Signature.17,0.0
Signature.18,0.0
Signature.19,0.148787662589
Signature.20,0.022820188995
Signature.21,0.0
Signature.22,0.0141811330399
Signature.23,0.0
Signature.24,0.0304872569493
Signature.25,0.0112998157874
Signature.26,0.0562505068345
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0148164841235
Signature.30,0.0
