,1:3:2:5:4
Signature.1,0.0155867745885
Signature.2,0.0
Signature.3,0.12190640829
Signature.4,0.0266195826683
Signature.5,0.014606724063
Signature.6,0.0469796355799
Signature.7,0.130057494182
Signature.8,0.0426709944946
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0986722188059
Signature.13,0.0758547421233
Signature.14,0.0
Signature.15,0.0851082999618
Signature.16,0.0298108704268
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.131723593892
Signature.21,0.0
Signature.22,0.096217017583
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0841856433408
Signature.30,0.0
