,1:3:2:5:4
Signature.1,0.0116165991484
Signature.2,0.0187257815687
Signature.3,0.0
Signature.4,0.0174764635244
Signature.5,0.0
Signature.6,0.0373442823401
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0182571086499
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0374998951026
Signature.16,0.0716365442915
Signature.17,0.0195985008238
Signature.18,0.046428562011
Signature.19,0.160678139033
Signature.20,0.0498863161411
Signature.21,0.0545545018078
Signature.22,0.0325152481398
Signature.23,0.0
Signature.24,0.0366693840451
Signature.25,0.0
Signature.26,0.017285976775
Signature.27,0.0
Signature.28,0.27014276693
Signature.29,0.0
Signature.30,0.0996839296679
