,1:3:2
Signature.1,0.0
Signature.2,0.0351319789112
Signature.3,0.0156631624926
Signature.4,0.0112287537949
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0571613948073
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0296151378399
Signature.16,0.199286788041
Signature.17,0.0154955408017
Signature.18,0.0
Signature.19,0.102494978186
Signature.20,0.0
Signature.21,0.0637194587225
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0154525460041
Signature.27,0.454750260399
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
