,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0118846380585
Signature.5,0.0115623573528
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0810570481859
Signature.9,0.142921938395
Signature.10,0.0
Signature.11,0.0890714459657
Signature.12,0.031446045291
Signature.13,0.0
Signature.14,0.085116499644
Signature.15,0.120770129148
Signature.16,0.0678442085175
Signature.17,0.0
Signature.18,0.0112363640999
Signature.19,0.0594091025897
Signature.20,0.0
Signature.21,0.0
Signature.22,0.206744684776
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0809355379758
Signature.29,0.0
Signature.30,0.0
