,11,10:1:3:2:5:4:7:6:9:8
Signature.1,0.0209628465139,0.0
Signature.2,0.0689153495545,0.0407021503374
Signature.3,0.0,0.0891538888812
Signature.4,0.0,0.0307939030003
Signature.5,0.0,0.0
Signature.6,0.0,0.0157223687923
Signature.7,0.172594931172,0.132955774878
Signature.8,0.0809644181646,0.107377455202
Signature.9,0.0,0.0163605008355
Signature.10,0.0237223094667,0.0
Signature.11,0.062063661002,0.0179644801035
Signature.12,0.0,0.0780875725541
Signature.13,0.018432733592,0.0471055687666
Signature.14,0.0266412553295,0.0
Signature.15,0.0,0.0
Signature.16,0.0,0.0
Signature.17,0.0260266587437,0.0
Signature.18,0.0,0.0120781454135
Signature.19,0.0759912221232,0.0649864960909
Signature.20,0.0,0.0373974001861
Signature.21,0.0,0.11845769856
Signature.22,0.146253113782,0.0
Signature.23,0.0,0.0234200997337
Signature.24,0.180267707059,0.0
Signature.25,0.0118654508927,0.0303404757005
Signature.26,0.0557843072535,0.0335810408529
Signature.27,0.0124253465205,0.0
Signature.28,0.0170886888307,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.103514980112
