,1:2,3
Signature.1,0.0632003492489,0.0
Signature.2,0.0368622890785,0.0
Signature.3,0.045771812858,0.0
Signature.4,0.0,0.0364759099463
Signature.5,0.0,0.0
Signature.6,0.0341807822145,0.0
Signature.7,0.0,0.0622047684993
Signature.8,0.0,0.0307790261191
Signature.9,0.0,0.0465012648557
Signature.10,0.0127450621789,0.0
Signature.11,0.0,0.326509778179
Signature.12,0.0244047678987,0.0
Signature.13,0.0257703511154,0.0685007934969
Signature.14,0.0,0.0
Signature.15,0.0299375261956,0.0174065022913
Signature.16,0.0,0.0
Signature.17,0.108546883257,0.0
Signature.18,0.0276037011988,0.0109023047832
Signature.19,0.0,0.0
Signature.20,0.0867298082724,0.0
Signature.21,0.0,0.0
Signature.22,0.0,0.211272160976
Signature.23,0.0,0.0705095986189
Signature.24,0.20290552391,0.0900310494974
Signature.25,0.271814019952,0.0
Signature.26,0.0,0.0
Signature.27,0.014857788045,0.0
Signature.28,0.0,0.0123660304154
Signature.29,0.0146693345752,0.0
Signature.30,0.0,0.0165408123212
