,1:2:5:4,3
Signature.1,0.0,0.0321115500276
Signature.2,0.154489246803,0.0
Signature.3,0.0268641698793,0.0
Signature.4,0.0159722647417,0.15422189176
Signature.5,0.0214549495493,0.0
Signature.6,0.0,0.0830660940926
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.168129264544,0.0
Signature.10,0.0162240226256,0.0
Signature.11,0.0676209823058,0.0516900201958
Signature.12,0.0,0.0124238750556
Signature.13,0.0,0.0
Signature.14,0.0,0.139006622726
Signature.15,0.0288894217644,0.0258733905151
Signature.16,0.0131875811463,0.0
Signature.17,0.0112442462022,0.0
Signature.18,0.0,0.0219704076162
Signature.19,0.0,0.0
Signature.20,0.0,0.0169788540189
Signature.21,0.0579745383095,0.0
Signature.22,0.0326466114402,0.223164117964
Signature.23,0.0868595110101,0.0786816157625
Signature.24,0.0,0.0791969827873
Signature.25,0.0,0.0
Signature.26,0.0,0.0
Signature.27,0.0,0.0101915098298
Signature.28,0.135897227356,0.0127708005013
Signature.29,0.0283745849733,0.041995626338
Signature.30,0.134171377349,0.0166566408086
