,1:3:2:5:4:7:6
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.188029403972
Signature.7,0.0
Signature.8,0.0641738415745
Signature.9,0.0
Signature.10,0.141211074019
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0227206442815
Signature.14,0.019045632041
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0372881103115
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.394128863905
Signature.24,0.0464722980395
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0869301318558
