,1:3,2
Signature.1,0.0577850246703,0.204611334629
Signature.2,0.0,0.0
Signature.3,0.0,0.0561896059727
Signature.4,0.0,0.0
Signature.5,0.0305136982733,0.0455946507966
Signature.6,0.0,0.0219917739436
Signature.7,0.0,0.0
Signature.8,0.0260759097141,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.0141291771826
Signature.11,0.295488315247,0.0
Signature.12,0.0854313342113,0.0
Signature.13,0.0,0.120250861315
Signature.14,0.0,0.0116411334386
Signature.15,0.0966114581532,0.0
Signature.16,0.0249603869599,0.0
Signature.17,0.0,0.0
Signature.18,0.011255460385,0.0282365980049
Signature.19,0.0604975281769,0.202297212746
Signature.20,0.0,0.0928923561125
Signature.21,0.0334541386305,0.0145431414116
Signature.22,0.0,0.0160102381699
Signature.23,0.010808555251,0.0
Signature.24,0.0,0.0
Signature.25,0.0349469041331,0.0
Signature.26,0.203970382353,0.0217283475387
Signature.27,0.0,0.0
Signature.28,0.0158645465874,0.0466664664411
Signature.29,0.0123363572539,0.103217102297
Signature.30,0.0,0.0
