,1:3:2:5:4:6,7
Signature.1,0.0401810014207,0.174781533519
Signature.2,0.0136346088491,0.0
Signature.3,0.121621366888,0.0
Signature.4,0.191677799948,0.0159938976181
Signature.5,0.0,0.079805781003
Signature.6,0.0229460535473,0.0
Signature.7,0.0284227621013,0.0
Signature.8,0.200153352323,0.0142681109821
Signature.9,0.0,0.047493688572
Signature.10,0.0503492749188,0.0191221547306
Signature.11,0.0,0.0
Signature.12,0.130913854849,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.0141134277159
Signature.15,0.0,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.213053361251
Signature.19,0.0134194511625,0.0514144849123
Signature.20,0.0430361189333,0.0
Signature.21,0.0676331260412,0.0
Signature.22,0.0261364451018,0.0
Signature.23,0.0,0.124131713948
Signature.24,0.0,0.0415720817283
Signature.25,0.0,0.0
Signature.26,0.0148854186148,0.0637364843635
Signature.27,0.0349893653017,0.122942691146
Signature.28,0.0,0.0175705885096
Signature.29,0.0,0.0
Signature.30,0.0,0.0
