,11:9:10,1:2:5:7:6:8,3,4
Signature.1,0.011569626875,0.0,0.0120111669263,0.0
Signature.2,0.0,0.180502530778,0.0369563090289,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0482863034909,0.0,0.0
Signature.5,0.0,0.0,0.0,0.138674260344
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.149704551591,0.0326042966307,0.0,0.0
Signature.8,0.0,0.0,0.0289124561405,0.015390902334
Signature.9,0.0,0.0434371199578,0.0345246682481,0.0190674884883
Signature.10,0.0,0.0,0.0949112194569,0.0133813810591
Signature.11,0.0535792632686,0.0,0.115807416832,0.147929542026
Signature.12,0.138834743023,0.0,0.0381287921924,0.0
Signature.13,0.0382188414191,0.0,0.0362886364441,0.0
Signature.14,0.0,0.158045295711,0.0314490389859,0.0
Signature.15,0.0,0.0,0.0,0.0
Signature.16,0.0331777012768,0.136284185066,0.0172004437552,0.0291758501295
Signature.17,0.0140474053975,0.0124360728996,0.0,0.0
Signature.18,0.0543495738417,0.0239903868404,0.0590663149794,0.0
Signature.19,0.0,0.0234898201632,0.0,0.232604177983
Signature.20,0.0,0.0,0.0267547597011,0.0
Signature.21,0.0,0.151019565333,0.0265476438228,0.0
Signature.22,0.0,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0801938677657,0.0697522201246
Signature.24,0.238023011438,0.0,0.255569471696,0.0
Signature.25,0.0602034717441,0.0,0.0,0.14305752848
Signature.26,0.0,0.0,0.0350629239738,0.0
Signature.27,0.0387270572613,0.0630596627619,0.0,0.0
Signature.28,0.0,0.126844760368,0.0,0.156027727863
Signature.29,0.0,0.0,0.0706148700509,0.0212507464458
Signature.30,0.169564752864,0.0,0.0,0.0136881747234
