,1:3:2:5:4:7:6,9,8
Signature.1,0.0141287373432,0.0,0.0340861117721
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0,0.199310008827
Signature.4,0.143711092308,0.0133423238604,0.0
Signature.5,0.0266743406466,0.104152882045,0.0108525324733
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.0,0.0247513273421
Signature.8,0.0572408499461,0.0,0.0247922127032
Signature.9,0.0,0.0112859030528,0.0
Signature.10,0.0,0.0411170108467,0.0
Signature.11,0.034257298761,0.0,0.03479883184
Signature.12,0.0,0.0190099060191,0.0318172801119
Signature.13,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0164557874848
Signature.15,0.0958485841051,0.0153750682514,0.0
Signature.16,0.0887030590484,0.039935797805,0.0
Signature.17,0.0426976711084,0.0,0.0
Signature.18,0.0,0.128999336411,0.0
Signature.19,0.0130377502326,0.0,0.0
Signature.20,0.0385631481695,0.0484817939468,0.0
Signature.21,0.0,0.157801957935,0.0
Signature.22,0.0465031027431,0.0,0.0
Signature.23,0.0,0.0,0.0341572906647
Signature.24,0.0,0.30420054901,0.0
Signature.25,0.0,0.0,0.0
Signature.26,0.0778210704465,0.0,0.349364483439
Signature.27,0.0136431709775,0.0,0.0558828998703
Signature.28,0.236695605646,0.0853138975324,0.0390466507371
Signature.29,0.0704745185184,0.0309835732845,0.0742126773673
Signature.30,0.0,0.0,0.0704719053673
