,1:2,3
Signature.1,0.0,0.0
Signature.2,0.0,0.0368254946818
Signature.3,0.0,0.0
Signature.4,0.144959270258,0.0
Signature.5,0.0988932781451,0.0
Signature.6,0.0,0.0
Signature.7,0.0501818900397,0.509925470535
Signature.8,0.111492730345,0.0
Signature.9,0.0,0.029013204652
Signature.10,0.0,0.0
Signature.11,0.101718543712,0.0
Signature.12,0.0,0.128984573627
Signature.13,0.0267599267378,0.0
Signature.14,0.0,0.0
Signature.15,0.0882181373628,0.0144238507663
Signature.16,0.0180953930282,0.0
Signature.17,0.0170271387618,0.0239885177692
Signature.18,0.0,0.0
Signature.19,0.0647521673934,0.214096825902
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.0164756955053,0.0
Signature.23,0.0144031952728,0.0
Signature.24,0.192591915182,0.0
Signature.25,0.0544307182567,0.0
Signature.26,0.0,0.0
Signature.27,0.0,0.0135426745386
Signature.28,0.0,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.029199387527
