,1:2:5:4:6,3,7
Signature.1,0.0,0.0,0.0287860247696
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0138295753654,0.0
Signature.4,0.0,0.0,0.0
Signature.5,0.0132633849145,0.0,0.0143964033497
Signature.6,0.0178094186382,0.0,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.0163569656654,0.0
Signature.9,0.205738267151,0.0166458488345,0.325809401747
Signature.10,0.0117769841877,0.0,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.134565013282,0.0,0.0
Signature.13,0.012586918105,0.0,0.0
Signature.14,0.0144756619995,0.0,0.0192953103571
Signature.15,0.0941730504399,0.0,0.0
Signature.16,0.0,0.228718273571,0.145677836599
Signature.17,0.0,0.067222488118,0.0979131941921
Signature.18,0.0,0.0125094014249,0.0140811077555
Signature.19,0.0,0.0246840381068,0.0
Signature.20,0.33302073648,0.0272955642822,0.184572529176
Signature.21,0.0,0.0,0.0
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0130627674397,0.0917413111558,0.0
Signature.25,0.135766373132,0.19178886763,0.0
Signature.26,0.013761424231,0.17100941627,0.0
Signature.27,0.0,0.138198249576,0.047874275235
Signature.28,0.0,0.0,0.0
Signature.29,0.0,0.0,0.01616430162
Signature.30,0.0,0.0,0.105429615199
