,1:3:2:5:4
Signature.1,0.224107660391
Signature.2,0.0410958401986
Signature.3,0.0518023224089
Signature.4,0.0879708478791
Signature.5,0.0
Signature.6,0.0170045863782
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0138812966259
Signature.11,0.096714705386
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0142636544417
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0390219974062
Signature.19,0.0
Signature.20,0.0
Signature.21,0.300968140372
Signature.22,0.0
Signature.23,0.0178601138464
Signature.24,0.0
Signature.25,0.0165057584009
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0788030762651
Signature.29,0.0
Signature.30,0.0
