,11:9:10,1:3:2:5:4:7:6:8
Signature.1,0.195309978049,0.0558907009972
Signature.2,0.116931386492,0.0665930100017
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0210238887395,0.0375354321135
Signature.7,0.0315020722,0.0
Signature.8,0.0,0.0
Signature.9,0.01132446486,0.0201713225921
Signature.10,0.0152885731889,0.320685576414
Signature.11,0.0248950955436,0.0752837100365
Signature.12,0.0833294902896,0.0696118962474
Signature.13,0.0510889621064,0.0
Signature.14,0.0,0.0
Signature.15,0.0918007886034,0.0
Signature.16,0.045249603066,0.0
Signature.17,0.0,0.020851750111
Signature.18,0.0807621278882,0.0
Signature.19,0.0,0.0
Signature.20,0.0,0.0125415892868
Signature.21,0.0,0.0667249822688
Signature.22,0.0212779100807,0.0
Signature.23,0.104412835729,0.0
Signature.24,0.0,0.106346004681
Signature.25,0.0,0.105394887784
Signature.26,0.0790682121198,0.0
Signature.27,0.026734611044,0.0
Signature.28,0.0,0.0235634285779
Signature.29,0.0,0.0188057088876
Signature.30,0.0,0.0
