,1:2,3,5,4
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0178444040053,0.0555723190605,0.0,0.0
Signature.3,0.0,0.0,0.0474594141227,0.0
Signature.4,0.0,0.0,0.193191388504,0.0304688931506
Signature.5,0.0291152459057,0.0,0.0811393157193,0.217293671554
Signature.6,0.0175685314313,0.0835631195532,0.0,0.0326096771242
Signature.7,0.0,0.0378425590529,0.0292909756963,0.0564516982243
Signature.8,0.0126330404956,0.101467872798,0.0795032023371,0.0572552266626
Signature.9,0.0642068089199,0.0461997180882,0.0,0.102619722864
Signature.10,0.0,0.12768083028,0.125977407932,0.0
Signature.11,0.0,0.0,0.0254990829576,0.0
Signature.12,0.0,0.0143055914968,0.0,0.0
Signature.13,0.13194407544,0.0609996284417,0.0,0.0115083264275
Signature.14,0.0,0.0,0.101185800823,0.021631650125
Signature.15,0.132917326236,0.162991328092,0.0,0.0621061390317
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0287179283219,0.0103423106615,0.0,0.0181655208125
Signature.18,0.0223833673573,0.0,0.0207847214935,0.194517366628
Signature.19,0.0,0.0,0.0136047548392,0.0
Signature.20,0.0460741578107,0.0277566981112,0.0322848081476,0.0114620849628
Signature.21,0.128848535943,0.0329617396033,0.166688373593,0.0
Signature.22,0.0680831648068,0.0272216115819,0.0,0.0151603355311
Signature.23,0.0,0.0,0.0,0.0162464467052
Signature.24,0.0460154616542,0.0,0.0,0.0183858957275
Signature.25,0.0159122488685,0.0,0.0,0.0
Signature.26,0.0,0.150618428237,0.0723488093676,0.0
Signature.27,0.0,0.03157229845,0.011041944467,0.0
Signature.28,0.170665092553,0.0,0.0,0.0
Signature.29,0.0,0.0289039464914,0.0,0.134117344469
Signature.30,0.06707061025,0.0,0.0,0.0
