,1:2,3:7,5:4,6
Signature.1,0.144268934758,0.0,0.0,0.0
Signature.2,0.0,0.0,0.128990648343,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0322352191517,0.0,0.0
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.0,0.0607199205359,0.0,0.0
Signature.8,0.0255305288045,0.0,0.151801942731,0.0
Signature.9,0.0,0.0,0.0,0.0263576378837
Signature.10,0.0,0.3367146525,0.0371809111395,0.0
Signature.11,0.0,0.0,0.120969819779,0.0
Signature.12,0.0,0.0,0.0,0.0
Signature.13,0.0,0.0205401188445,0.0,0.0
Signature.14,0.0124678828665,0.0,0.0,0.318512143808
Signature.15,0.0131526889068,0.0,0.0,0.120648088104
Signature.16,0.0,0.221404161445,0.112246763183,0.0
Signature.17,0.163564616667,0.0,0.0306639082917,0.0
Signature.18,0.0,0.0171874382679,0.0,0.0
Signature.19,0.122945528076,0.0460218669654,0.0548665986046,0.0
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0,0.378930596026
Signature.22,0.134702654242,0.0,0.0,0.0416881103665
Signature.23,0.0981296509141,0.0640465527111,0.0129984005031,0.0437871875534
Signature.24,0.0503563552736,0.0,0.0142910432316,0.0165100184724
Signature.25,0.0,0.0260086709842,0.0,0.0
Signature.26,0.0,0.0,0.0224721930058,0.0
Signature.27,0.0185521515487,0.0,0.0172494826145,0.0238608955358
Signature.28,0.158154590018,0.0,0.0,0.0
Signature.29,0.0,0.175121398594,0.0,0.0190079925145
Signature.30,0.058174417926,0.0,0.296268288573,0.0106973297362
