,1:2,3,5:7:6,4
Signature.1,0.0145312771029,0.0,0.0,0.0
Signature.2,0.0,0.0170580884614,0.0,0.0261232762931
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0176487072647,0.0215764149927
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.0,0.0144142979457,0.0,0.0
Signature.7,0.315526192656,0.0,0.0,0.434158838878
Signature.8,0.25848585136,0.0,0.558772146492,0.038883928074
Signature.9,0.0,0.102712437213,0.0,0.0
Signature.10,0.0,0.103559686924,0.0,0.0
Signature.11,0.0617214748563,0.048255929489,0.0,0.0
Signature.12,0.0,0.0,0.0150810930746,0.057235269171
Signature.13,0.0,0.0429864311356,0.0,0.0
Signature.14,0.0151563367279,0.321469343811,0.0214922783925,0.0
Signature.15,0.0143778775013,0.0,0.0913953678997,0.0259966773906
Signature.16,0.0522170071734,0.105184508202,0.0,0.0
Signature.17,0.0,0.0183758045009,0.0541375232819,0.0
Signature.18,0.0,0.0167336549867,0.0,0.0605562354335
Signature.19,0.0,0.0,0.0603149383958,0.0110445164745
Signature.20,0.0,0.0,0.0328812086998,0.0
Signature.21,0.0246253399542,0.0168675492585,0.0,0.0221603144401
Signature.22,0.0,0.0,0.0,0.144999964638
Signature.23,0.0,0.0,0.0826602157185,0.0
Signature.24,0.0346738798756,0.0,0.0,0.0
Signature.25,0.0622324937455,0.0,0.0533721671741,0.0
Signature.26,0.0822112332862,0.0,0.0122443536064,0.0951129701026
Signature.27,0.015016176976,0.0783289616457,0.0,0.0165903623633
Signature.28,0.0,0.0,0.0,0.0455612317487
Signature.29,0.0351619992976,0.114053306426,0.0,0.0
Signature.30,0.0140628594879,0.0,0.0,0.0
