,1:3:2:4:7,5,6
Signature.1,0.0286134901316,0.0,0.0368729533638
Signature.2,0.0176232866902,0.129109310848,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0734503127624,0.124173912533,0.0115478361081
Signature.5,0.0,0.0,0.0
Signature.6,0.0705972927216,0.0576214185415,0.0
Signature.7,0.0545202533606,0.0,0.168513224842
Signature.8,0.0126336637965,0.0208622974552,0.192410611422
Signature.9,0.0267995966793,0.0458803992191,0.0
Signature.10,0.301098906141,0.0,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0376833314267
Signature.13,0.0130451278675,0.0,0.0
Signature.14,0.0,0.0251360666336,0.0
Signature.15,0.0420829178598,0.0,0.0
Signature.16,0.0,0.0,0.0706107645584
Signature.17,0.0,0.0183055112689,0.0
Signature.18,0.0337812927404,0.0,0.0139060419424
Signature.19,0.0787494970931,0.0,0.133303398963
Signature.20,0.0,0.0114371050266,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0,0.0,0.303355612685
Signature.23,0.0331077325562,0.0,0.0
Signature.24,0.0311980117223,0.0279606645855,0.0
Signature.25,0.0,0.0,0.0
Signature.26,0.0,0.0661711305606,0.0
Signature.27,0.0551053272505,0.0605021100102,0.0
Signature.28,0.0243432774681,0.240773029272,0.0
Signature.29,0.0,0.070142760446,0.0317962246889
Signature.30,0.103250013159,0.101924283599,0.0
