,1:3:2:4,5
Signature.1,0.0199386054023,0.0
Signature.2,0.0,0.0
Signature.3,0.0,0.0150107670933
Signature.4,0.0,0.0
Signature.5,0.0,0.0168323334893
Signature.6,0.0383279465303,0.0
Signature.7,0.0,0.0
Signature.8,0.0115828032971,0.0
Signature.9,0.0,0.054271801024
Signature.10,0.192395247615,0.0
Signature.11,0.0,0.0
Signature.12,0.0162237760449,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.0235681231782
Signature.15,0.0357389551026,0.0115551944766
Signature.16,0.0112501200042,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.0
Signature.19,0.0262460627602,0.0
Signature.20,0.171551371494,0.0946109959001
Signature.21,0.116478536068,0.0
Signature.22,0.18799859249,0.180340736144
Signature.23,0.0,0.10208380909
Signature.24,0.150595384682,0.148340190778
Signature.25,0.0216725985095,0.244311206682
Signature.26,0.0,0.0104342401947
Signature.27,0.0,0.0614357881762
Signature.28,0.0,0.0
Signature.29,0.0,0.0181308718126
Signature.30,0.0,0.0190739419602
