,1:2,3
Signature.1,0.0311065580374,0.173085905437
Signature.2,0.0,0.0144504657495
Signature.3,0.042716100955,0.160693537019
Signature.4,0.0,0.0
Signature.5,0.178440517064,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.0300440048752,0.0510779966094
Signature.10,0.035374814798,0.0
Signature.11,0.0,0.0
Signature.12,0.0345950941332,0.0556954945809
Signature.13,0.0,0.221634194388
Signature.14,0.380458091939,0.0
Signature.15,0.0909929982363,0.116303143799
Signature.16,0.0,0.0
Signature.17,0.0515356856889,0.0
Signature.18,0.0,0.116766941983
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.028853575246,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.0671017385227,0.0902923204354
Signature.26,0.0,0.0
Signature.27,0.0287808205043,0.0
Signature.28,0.0,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.0
