,11:9:10,1:3:5:4:7:6:8,2
Signature.1,0.0,0.111444259281,0.0115327868322
Signature.2,0.146797495395,0.0,0.0
Signature.3,0.0543955765253,0.0,0.0326196336871
Signature.4,0.011956570597,0.0,0.0
Signature.5,0.0,0.0,0.0482125622897
Signature.6,0.0,0.0187562140785,0.0
Signature.7,0.0,0.0,0.0615883540671
Signature.8,0.326572609547,0.0,0.0
Signature.9,0.0,0.0247610950724,0.207493032902
Signature.10,0.0770084560628,0.0181316420398,0.079651110513
Signature.11,0.0,0.0,0.0222753233415
Signature.12,0.010822773284,0.0,0.0
Signature.13,0.0,0.0,0.0
Signature.14,0.0,0.154263666231,0.0154545642266
Signature.15,0.0509097292583,0.0,0.020759576194
Signature.16,0.0453179206782,0.0943661391489,0.0
Signature.17,0.0,0.0161249839534,0.0823429112802
Signature.18,0.034448562641,0.130735196732,0.0
Signature.19,0.0483947082625,0.0426566785937,0.0
Signature.20,0.0125625140846,0.0151424207871,0.0
Signature.21,0.0,0.0,0.0110110532314
Signature.22,0.0,0.232534132411,0.0161896633717
Signature.23,0.0,0.0606133662962,0.0
Signature.24,0.0451498049613,0.0,0.0
Signature.25,0.0448244778419,0.0,0.0679712191529
Signature.26,0.0,0.0301753731476,0.0
Signature.27,0.0403984508264,0.0148687296369,0.0
Signature.28,0.0111667444626,0.0,0.322898208911
Signature.29,0.021388847351,0.0,0.0
Signature.30,0.0178847582215,0.0354261025908,0.0
