,11,10:1:2:5:7:6:9:8,3:4
Signature.1,0.188825767238,0.0,0.0397166688397
Signature.2,0.0,0.0,0.0323052875154
Signature.3,0.0,0.0,0.0109458783426
Signature.4,0.0,0.0,0.0
Signature.5,0.198735597423,0.0121646228842,0.0
Signature.6,0.02417215675,0.040259416328,0.0168319124926
Signature.7,0.0,0.0,0.236169177399
Signature.8,0.0,0.278746226727,0.0
Signature.9,0.0,0.0310194716123,0.0
Signature.10,0.0,0.0211032879685,0.0
Signature.11,0.0,0.0,0.0746748803282
Signature.12,0.0251901695007,0.046947481922,0.120478894097
Signature.13,0.0,0.135275938791,0.0
Signature.14,0.0,0.0,0.0419355439738
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0,0.032742637489
Signature.17,0.0,0.024372799041,0.150251777229
Signature.18,0.0,0.0279877613051,0.0
Signature.19,0.0589328355412,0.134220828037,0.0
Signature.20,0.0657925511369,0.0,0.0755368609967
Signature.21,0.0,0.0509051441023,0.0
Signature.22,0.161077512207,0.0408125359087,0.0
Signature.23,0.113416123012,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0465487915816,0.03556487484
Signature.26,0.0,0.0,0.0
Signature.27,0.0,0.0,0.0112979605807
Signature.28,0.108189105066,0.109635693791,0.04297064112
Signature.29,0.0,0.0,0.0490095126376
Signature.30,0.0556681821249,0.0,0.0295674921187
