,1:3:2:5:4:7:6
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0470950767392
Signature.4,0.0155173718613
Signature.5,0.0612598440405
Signature.6,0.0372729940038
Signature.7,0.0186736107156
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.082761316334
Signature.15,0.234872927064
Signature.16,0.0
Signature.17,0.0279185733185
Signature.18,0.0
Signature.19,0.0142287006126
Signature.20,0.0159643875014
Signature.21,0.0
Signature.22,0.0132871372206
Signature.23,0.0182236345352
Signature.24,0.0325555994064
Signature.25,0.0132306271516
Signature.26,0.248645714922
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0197733321772
Signature.30,0.098719152396
