,11:9:10,1:3:2:5:7:6:8,4
Signature.1,0.0,0.0,0.0
Signature.2,0.167464528717,0.0,0.0
Signature.3,0.0,0.0,0.0316447008513
Signature.4,0.0323378335634,0.0,0.125428370323
Signature.5,0.145538889188,0.0250007644814,0.0
Signature.6,0.0,0.0179174487116,0.0134160279678
Signature.7,0.0,0.0,0.0359369750408
Signature.8,0.0449360901594,0.0,0.0
Signature.9,0.0200995256642,0.0,0.0
Signature.10,0.0,0.0,0.0
Signature.11,0.0490510857901,0.0161080513515,0.0875911127579
Signature.12,0.0,0.0,0.0165644190084
Signature.13,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0
Signature.15,0.0475290584297,0.0,0.0506029705712
Signature.16,0.0,0.0,0.071131400764
Signature.17,0.0157209040622,0.0390526973347,0.0156620314569
Signature.18,0.0,0.0,0.0574197042111
Signature.19,0.0,0.146253247749,0.0105342616118
Signature.20,0.0120573567687,0.391880038323,0.0
Signature.21,0.0,0.0442177009202,0.0
Signature.22,0.0,0.0289016445164,0.0384057293063
Signature.23,0.0284987445263,0.0,0.161817976809
Signature.24,0.0455997507624,0.0,0.0
Signature.25,0.0,0.143946325217,0.0
Signature.26,0.0,0.0,0.0740158335164
Signature.27,0.391166232369,0.0,0.0
Signature.28,0.0,0.131275146331,0.209828485804
Signature.29,0.0,0.0,0.0
Signature.30,0.0,0.0154469350635,0.0
